sim/none/none                                      Do nothing at all!
sim/electrical/generator_3_off                     Generator 3 off.
sim/electrical/generator_4_off                     Generator 4 off.
sim/electrical/generator_5_off                     Generator 5 off.
sim/electrical/generator_6_off                     Generator 6 off.
sim/electrical/generator_7_off                     Generator 7 off.
sim/electrical/generator_8_off                     Generator 8 off.
sim/electrical/generator_1_reset                   Generator 1 reset.
sim/electrical/generator_2_reset                   Generator 2 reset.
sim/electrical/generator_3_reset                   Generator 3 reset.
sim/electrical/generator_4_reset                   Generator 4 reset.
sim/electrical/generator_5_reset                   Generator 5 reset.
sim/electrical/generator_6_reset                   Generator 6 reset.
sim/electrical/generator_7_reset                   Generator 7 reset.
sim/electrical/generator_8_reset                   Generator 8 reset.
sim/altair/alternate_air_on_1                      Alternate air #1 on.
sim/altair/alternate_air_on_2                      Alternate air #2 on.
sim/altair/alternate_air_on_3                      Alternate air #3 on.
sim/altair/alternate_air_on_4                      Alternate air #4 on.
sim/altair/alternate_air_on_5                      Alternate air #5 on.
sim/altair/alternate_air_on_6                      Alternate air #6 on.
sim/altair/alternate_air_on_7                      Alternate air #7 on.
sim/altair/alternate_air_on_8                      Alternate air #8 on.
sim/altair/alternate_air_off_1                     Alternate air #1 off.
sim/altair/alternate_air_off_2                     Alternate air #2 off.
sim/altair/alternate_air_off_3                     Alternate air #3 off.
sim/altair/alternate_air_off_4                     Alternate air #4 off.
sim/altair/alternate_air_off_5                     Alternate air #5 off.
sim/altair/alternate_air_off_6                     Alternate air #6 off.
sim/altair/alternate_air_off_7                     Alternate air #7 off.
sim/altair/alternate_air_off_8                     Alternate air #8 off.
sim/altair/alternate_air_backup_on_1               Alternate air backup #1 on.
sim/altair/alternate_air_backup_on_2               Alternate air backup #2 on.
sim/altair/alternate_air_backup_on_3               Alternate air backup #3 on.
sim/altair/alternate_air_backup_on_4               Alternate air backup #4 on.
sim/altair/alternate_air_backup_on_5               Alternate air backup #5 on.
sim/altair/alternate_air_backup_on_6               Alternate air backup #6 on.
sim/altair/alternate_air_backup_on_7               Alternate air backup #7 on.
sim/altair/alternate_air_backup_on_8               Alternate air backup #8 on.
sim/altair/alternate_air_backup_off_1              Alternate air backup #1 off.
sim/altair/alternate_air_backup_off_2              Alternate air backup #2 off.
sim/altair/alternate_air_backup_off_3              Alternate air backup #3 off.
sim/altair/alternate_air_backup_off_4              Alternate air backup #4 off.
sim/altair/alternate_air_backup_off_5              Alternate air backup #5 off.
sim/altair/alternate_air_backup_off_6              Alternate air backup #6 off.
sim/altair/alternate_air_backup_off_7              Alternate air backup #7 off.
sim/altair/alternate_air_backup_off_8              Alternate air backup #8 off.
sim/engines/throttle_down_1                        Throttle down a bit for engine #1.
sim/engines/throttle_down_2                        Throttle down a bit for engine #2.
sim/engines/throttle_down_3                        Throttle down a bit for engine #3.
sim/engines/throttle_down_4                        Throttle down a bit for engine #4.
sim/engines/throttle_down_5                        Throttle down a bit for engine #5.
sim/engines/throttle_down_6                        Throttle down a bit for engine #6.
sim/engines/throttle_down_7                        Throttle down a bit for engine #7.
sim/engines/throttle_down_8                        Throttle down a bit for engine #8.
sim/engines/throttle_up_1                          Throttle up a bit for engine #1.
sim/engines/throttle_up_2                          Throttle up a bit for engine #2.
sim/engines/throttle_up_3                          Throttle up a bit for engine #3.
sim/engines/throttle_up_4                          Throttle up a bit for engine #4.
sim/engines/throttle_up_5                          Throttle up a bit for engine #5.
sim/engines/throttle_up_6                          Throttle up a bit for engine #6.
sim/engines/throttle_up_7                          Throttle up a bit for engine #7.
sim/engines/throttle_up_8                          Throttle up a bit for engine #8.
sim/engines/prop_down_1                            Prop down a bit for engine #1.
sim/engines/prop_down_2                            Prop down a bit for engine #2.
sim/engines/prop_down_3                            Prop down a bit for engine #3.
sim/engines/prop_down_4                            Prop down a bit for engine #4.
